,day,totalSamplesTested,totalPositiveCases,Source,positive_ratio,perday_positive,perday_tests
1,13/03/2020,6500,81,Press_Release_ICMR_13March2020.pdf,0.11,7,6500
2,18/03/2020,13125,151,ICMR_website_update_18March_6PM_IST.pdf,1.06,70,6625
3,19/03/2020,14175,173,ICMR_website_update_19March_6PM_IST.pdf,2.1,22,1050
4,20/03/2020,15404,223,ICMR_website_update_20March_6PM_IST.pdf,4.07,50,1229
5,21/03/2020,16911,283,ICMR_website_update_21March_6PM_IST.pdf,3.98,60,1507
6,22/03/2020,18127,360,ICMR_website_update_22March_6PM_IST.pdf,6.33,77,1216
7,23/03/2020,20707,433,ICMR_website_update_23March_8PM_IST.pdf,2.83,73,2580
8,24/03/2020,22694,519,ICMR_website_update_24March_8PM_IST.pdf,4.33,86,1987
9,25/03/2020,25144,606,ICMR_website_update_25March_8PM_IST.pdf,3.55,87,2450
10,27/03/2020,27688,724,ICMR_website_update_27March_9AM_IST.pdf,4.64,118,2544
11,30/03/2020,38442,1251,MoH Press conference with Dr. Raman G,4.9,527,10754
12,31/03/2020,42788,1397,MoH Press conference with Dr. Raman G,3.36,146,4346
13,1/4/2020,47951,1834,https://twitter.com/PTI_News/status/1245308976440340482,8.46,437,5163
14,2/4/2020,55851,2069,ICMR_testing_update_02April_9PM_IST.pdf,2.97,235,7900
15,3/4/2020,69245,2547,ICMR_testing_update_03April_9PM_IST.pdf,3.57,478,13394
16,4/4/2020,79950,3072,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf,4.9,525,10705
17,5/4/2020,89534,3577,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf,5.27,505,9584
18,6/4/2020,101068,4281,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf,6.1,704,11534
19,7/4/2020,114015,4789,ICMR_testing_update_07April_9PM_IST.pdf,3.92,508,12947
20,8/4/2020,127919,5274,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf,3.49,485,13904
21,9/4/2020,144910,5865,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf,3.48,591,16991
22,10/4/2020,161330,6761,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf,5.46,896,16420
23,11/4/2020,179374,7529,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf,4.26,768,18044
24,12/4/2020,195748,8447,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf,5.61,918,16374
25,13/04/2020,217554,9352,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf,4.15,905,21806
26,14/04/2020,244893,10815,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf,5.35,1463,27339
27,15/04/2020,274599,11933,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf,3.76,1118,29706
28,16/04/2020,302956,12759,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf,2.91,826,28357
29,17/04/2020,335123,13835,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf,3.35,1076,32167
30,18/04/2020,372123,14792,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf,2.59,957,37000
31,19/04/2020,401586,16116,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf,4.49,1324,29463
32,20/04/2020,437438,17656,https://www.youtube.com/watch?v=fRqmQNtGglE,4.3,1540,35852
33,21/04/2020,462621,18985,,5.28,1329,25183
34,22/04/2020,500542,20471,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf,3.92,1486,37921
35,23/04/2020,541789,21700,,2.98,1229,41247
36,24/04/2020,579957,23452,,4.59,1752,38168
37,25/04/2020,684936,24893,,1.37,1441,104979
38,26/04/2020,732359,26605,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf,3.61,1712,47423
39,27/04/2020,789963,28160,,2.7,1555,57604
40,28/04/2020,851813,29834,,2.71,1674,61850
41,29/04/2020,915735,31709,,2.93,1875,63922
42,30/04/2020,924708,33330,,18.07,1621,8973
43,1/5/2020,985836,34972,,2.69,1642,61128
44,2/5/2020,1091268,37157,,2.07,2185,105432
45,3/5/2020,1178077,40124,,3.42,2967,86809
46,4/5/2020,1248249,42836,,3.86,2712,70172
47,5/5/2020,1341075,46711,,4.17,3875,92826
48,6/5/2020,1394548,49391,,5.01,2680,53473
49,7/5/2020,1451633,52952,,6.24,3561,57085
50,8/5/2020,1523213,56342,,4.74,3390,71580
51,9/5/2020,1609035,59662,,3.87,3320,85822
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
